????,Interface,AE Interface,????,ip,
A303-03-6-EVH1,Ge-0/0/0,ae0,,172.30.71.2/30,11
,Ge-1/0/0,,,,
,Ge-0/0/1,ae1,work Station,193.30.71.254/24
,Ge-1/0/1,,,,
,Ge-0/0/2,ae2,work Station
,Ge-1/0/2,,,,
,Ge-0/0/3,,color printer,,
,,,,,
,,,,,
,,,,,
,,,,,
