????,Interface,????,ip,vlan
A303-03-7,Ge-6/0/0,A303-03-1,172.30.13.246/30,
,Ge-15/0/0,,,
,Ge-6/0/1,A303-03-11 (DMZ switch),172.30.13.250/30,
,Ge-15/0/1,,,
