,Interface,,ip,vlan
A303-03-9,Ge-0/0/0,A303-03-8,172.30.202.2/30,220
,Ge-1/0/0,,,
,Ge-0/0/1,EOS seril port1,193.30.202.254/24,200
,Ge-1/0/1,EOS seril port2,,200
,Ge-0/0/2,EOS IFS Server,,200
,Ge-1/0/2,,,
,Ge-2/0/0,ES1 VLAN,172.30.220.5/30,101
,Ge-2/0/1,ES2 VLAN,172.30.221.5/30,102
,Ge-2/0/2,ES3 VLAN,172.30.222.5/30,103
,Ge-2/0/3,ES4 VLAN,172.30.223.5/30,104
,Ge-2/0/4,ES5 VLAN,172.30.224.5/30,105
,Ge-2/0/5,ES6 VLAN,172.30.225.5/30,106
,Ge-2/0/6,ES7 VLAN,172.30.226.5/30,107
,Ge-2/0/7,ES8 VLAN,172.30.227.5/30,108
,Ge-2/0/8,ES9 VLAN,172.30.228.5/30,109
,Ge-2/0/9,ES10 VLAN,172.30.229.5/30,110
,Ge-2/0/10,ES11 VLAN,172.30.230.5/30,111
,Ge-2/0/11,ES12 VLAN,172.30.231.5/30,112
,Ge-2/0/12,ES13 VLAN,172.30.232.5/30,113
