????,Interface,????,ip,vlan
A303-03-11,Ge-0/0/0,A303-03-7,172.30.13.249/30,
,Ge-1/0/0,,,
,Ge-0/0/1,A303-03-12,172.30.13.253/30,
,Ge-1/0/1,,,
,Ge-0/0/2,DMZ HIS Server 1,193.30.13.254/24,90
,Ge-1/0/2,,,
,Ge-0/0/3,DMZ HIS Server 2,,
,Ge-1/0/3,,,
,Ge-0/0/4,DMZ WEB Server 1,,
,Ge-1/0/4,,,
